values,metric,model,L,training_scheme,regression
0.619485354107237,r2,ar,1D,ClustAM,elastic
0.615937435803554,r2,har,1D,ClustAM,elastic
0.363842718406106,r2,har_dummy_markets,1D,ClustAM,elastic
0.250962094579172,r2,risk_metrics,1D,ClustAM,elastic
0.629905197153105,r2,ar,1D,ClustAM,lasso
0.602150978526249,r2,har,1D,ClustAM,lasso
0.389779724965475,r2,har_dummy_markets,1D,ClustAM,lasso
0.25217022613645,r2,risk_metrics,1D,ClustAM,lasso
-0.0287313235110633,r2,ar,1D,ClustAM,ridge
-0.0220080120622503,r2,har,1D,ClustAM,ridge
-0.134526737768031,r2,har_dummy_markets,1D,ClustAM,ridge
0.284632498388795,r2,risk_metrics,1D,ClustAM,ridge
0.118564092216574,r2,ar,1D,SAM,elastic
0.263700926490649,r2,har,1D,SAM,elastic
-0.0894470453670062,r2,har_dummy_markets,1D,SAM,elastic
0.118824164464887,r2,ar,1D,SAM,lasso
0.182102076405613,r2,har,1D,SAM,lasso
-0.0807300637693741,r2,har_dummy_markets,1D,SAM,lasso
0.133322317324483,r2,ar,1D,SAM,linear
-1.22881968075703,r2,har,1D,SAM,linear
-3.83920538814355,r2,har_dummy_markets,1D,SAM,linear
0.154891368971743,r2,risk_metrics,1D,SAM,linear
-0.055726985281963,r2,ar,1D,SAM,ridge
-0.0552186001675098,r2,har,1D,SAM,ridge
-0.131648735670279,r2,har_dummy_markets,1D,SAM,ridge
0.631465867748102,r2,ar,1D,UAM,elastic
0.637964163584385,r2,har,1D,UAM,elastic
0.40252488741466,r2,har_dummy_markets,1D,UAM,elastic
0.250985225279196,r2,risk_metrics,1D,UAM,elastic
0.63001349251628,r2,ar,1D,UAM,lasso
0.633227363076133,r2,har,1D,UAM,lasso
0.417124593451865,r2,har_dummy_markets,1D,UAM,lasso
0.252715496986502,r2,risk_metrics,1D,UAM,lasso
-0.00930699172304751,r2,ar,1D,UAM,ridge
0.00158254339618505,r2,har,1D,UAM,ridge
-0.113445185075419,r2,har_dummy_markets,1D,UAM,ridge
0.302481467154385,r2,risk_metrics,1D,UAM,ridge
0.646313423958189,r2,ar,1W,ClustAM,elastic
0.758732149916038,r2,har,1W,ClustAM,elastic
0.595746621253891,r2,har_dummy_markets,1W,ClustAM,elastic
0.372028937781776,r2,risk_metrics,1W,ClustAM,elastic
0.646479758933548,r2,ar,1W,ClustAM,lasso
0.759031060135583,r2,har,1W,ClustAM,lasso
0.612721929133635,r2,har_dummy_markets,1W,ClustAM,lasso
0.37205737886976,r2,risk_metrics,1W,ClustAM,lasso
0.0140213770036976,r2,ar,1W,ClustAM,ridge
0.0992727436050618,r2,har,1W,ClustAM,ridge
0.0995624078633431,r2,har_dummy_markets,1W,ClustAM,ridge
0.376910689272521,r2,risk_metrics,1W,ClustAM,ridge
0.158529631226347,r2,ar,1W,SAM,elastic
0.573324594533029,r2,har,1W,SAM,elastic
0.310243296112383,r2,har_dummy_markets,1W,SAM,elastic
0.158623398408139,r2,ar,1W,SAM,lasso
0.57454604681431,r2,har,1W,SAM,lasso
0.359910378415444,r2,har_dummy_markets,1W,SAM,lasso
0.169567662397495,r2,ar,1W,SAM,linear
0.554737909886458,r2,har,1W,SAM,linear
0.566063037318598,r2,har_dummy_markets,1W,SAM,linear
0.154891368971743,r2,risk_metrics,1W,SAM,linear
-0.221812166674033,r2,ar,1W,SAM,ridge
-0.136282775567125,r2,har,1W,SAM,ridge
-0.164913461665233,r2,har_dummy_markets,1W,SAM,ridge
0.663129372995627,r2,ar,1W,UAM,elastic
0.756731511833248,r2,har,1W,UAM,elastic
0.618220186403262,r2,har_dummy_markets,1W,UAM,elastic
0.384112129385942,r2,risk_metrics,1W,UAM,elastic
0.663346541683285,r2,ar,1W,UAM,lasso
0.757756253354385,r2,har,1W,UAM,lasso
0.629039075205361,r2,har_dummy_markets,1W,UAM,lasso
0.384581379107364,r2,risk_metrics,1W,UAM,lasso
0.133483287013321,r2,ar,1W,UAM,ridge
0.224132848119187,r2,har,1W,UAM,ridge
0.219072462229019,r2,har_dummy_markets,1W,UAM,ridge
0.394246961786223,r2,risk_metrics,1W,UAM,ridge
0.624579299237715,r2,ar,1M,ClustAM,elastic
0.791705254382322,r2,har,1M,ClustAM,elastic
0.618627687863155,r2,har_dummy_markets,1M,ClustAM,elastic
0.388300239432033,r2,risk_metrics,1M,ClustAM,elastic
0.624853024524695,r2,ar,1M,ClustAM,lasso
0.792198334630181,r2,har,1M,ClustAM,lasso
0.634133196942829,r2,har_dummy_markets,1M,ClustAM,lasso
0.388377228103336,r2,risk_metrics,1M,ClustAM,lasso
0.169051463583935,r2,ar,1M,ClustAM,ridge
0.340644895428558,r2,har,1M,ClustAM,ridge
0.342192852393851,r2,har_dummy_markets,1M,ClustAM,ridge
0.389340044358152,r2,risk_metrics,1M,ClustAM,ridge
0.0893815333598308,r2,ar,1M,SAM,elastic
0.581508306433947,r2,har,1M,SAM,elastic
0.410569005928248,r2,har_dummy_markets,1M,SAM,elastic
0.0895628160699856,r2,ar,1M,SAM,lasso
0.582345098554469,r2,har,1M,SAM,lasso
0.461214737191947,r2,har_dummy_markets,1M,SAM,lasso
0.0899743787944855,r2,ar,1M,SAM,linear
0.575235272069883,r2,har,1M,SAM,linear
0.585762778405813,r2,har_dummy_markets,1M,SAM,linear
0.154891368971743,r2,risk_metrics,1M,SAM,linear
-0.49807355876601,r2,ar,1M,SAM,ridge
-0.176721024828657,r2,har,1M,SAM,ridge
-0.175504825434395,r2,har_dummy_markets,1M,SAM,ridge
0.646387516965623,r2,ar,1M,UAM,elastic
0.79663687847298,r2,har,1M,UAM,elastic
0.635076881989523,r2,har_dummy_markets,1M,UAM,elastic
0.390255968304328,r2,risk_metrics,1M,UAM,elastic
0.646692801495907,r2,ar,1M,UAM,lasso
0.797353477155922,r2,har,1M,UAM,lasso
0.64800985582721,r2,har_dummy_markets,1M,UAM,lasso
0.390508621422165,r2,risk_metrics,1M,UAM,lasso
0.342572791989535,r2,ar,1M,UAM,ridge
0.462703029489915,r2,har,1M,UAM,ridge
0.462286585643289,r2,har_dummy_markets,1M,UAM,ridge
0.392745581690203,r2,risk_metrics,1M,UAM,ridge
0.022088009183,qlike,ar,1D,ClustAM,elastic
0.0261106059841316,qlike,har,1D,ClustAM,elastic
0.0380728405859929,qlike,har_dummy_markets,1D,ClustAM,elastic
0.177581502011863,qlike,risk_metrics,1D,ClustAM,elastic
0.0217623297746879,qlike,ar,1D,ClustAM,lasso
0.0269884814481223,qlike,har,1D,ClustAM,lasso
0.0363054446767175,qlike,har_dummy_markets,1D,ClustAM,lasso
0.176922762080538,qlike,risk_metrics,1D,ClustAM,lasso
0.0617002105603095,qlike,ar,1D,ClustAM,ridge
0.0612470893832981,qlike,har,1D,ClustAM,ridge
0.0689177372951702,qlike,har_dummy_markets,1D,ClustAM,ridge
0.166773511784681,qlike,risk_metrics,1D,ClustAM,ridge
0.0509008657140467,qlike,ar,1D,SAM,elastic
0.0724610973725347,qlike,har,1D,SAM,elastic
0.0653005132298344,qlike,har_dummy_markets,1D,SAM,elastic
0.0508871568563864,qlike,ar,1D,SAM,lasso
0.0936472676404493,qlike,har,1D,SAM,lasso
0.0648188557411526,qlike,har_dummy_markets,1D,SAM,lasso
0.0497589119839608,qlike,ar,1D,SAM,linear
0.43770294565532,qlike,har,1D,SAM,linear
0.984720441923616,qlike,har_dummy_markets,1D,SAM,linear
0.880769555581378,qlike,risk_metrics,1D,SAM,linear
0.063309725323576,qlike,ar,1D,SAM,ridge
0.0632333300965045,qlike,har,1D,SAM,ridge
0.106828002125931,qlike,har_dummy_markets,1D,SAM,ridge
0.0216367162233212,qlike,ar,1D,UAM,elastic
0.0215219297693335,qlike,har,1D,UAM,elastic
0.0354823118706713,qlike,har_dummy_markets,1D,UAM,elastic
0.179116671208621,qlike,risk_metrics,1D,UAM,elastic
0.0216872305746124,qlike,ar,1D,UAM,lasso
0.0220683093276738,qlike,har,1D,UAM,lasso
0.0345793819881723,qlike,har_dummy_markets,1D,UAM,lasso
0.178291369305337,qlike,risk_metrics,1D,UAM,lasso
0.0603241511760381,qlike,ar,1D,UAM,ridge
0.0595707859468115,qlike,har,1D,UAM,ridge
0.0672282497284305,qlike,har_dummy_markets,1D,UAM,ridge
0.163780306035706,qlike,risk_metrics,1D,UAM,ridge
0.0201470223752181,qlike,ar,1W,ClustAM,elastic
0.0132866446920024,qlike,har,1W,ClustAM,elastic
0.0242818230933865,qlike,har_dummy_markets,1W,ClustAM,elastic
0.150495403464799,qlike,risk_metrics,1W,ClustAM,elastic
0.020133063586585,qlike,ar,1W,ClustAM,lasso
0.0179321215886217,qlike,har,1W,ClustAM,lasso
0.0230234796498368,qlike,har_dummy_markets,1W,ClustAM,lasso
0.150426866810977,qlike,risk_metrics,1W,ClustAM,lasso
0.058849119383053,qlike,ar,1W,ClustAM,ridge
0.054217194620501,qlike,har,1W,ClustAM,ridge
0.0541285200471245,qlike,har_dummy_markets,1W,ClustAM,ridge
0.149338000278054,qlike,risk_metrics,1W,ClustAM,ridge
0.0469635638837946,qlike,ar,1W,SAM,elastic
0.0224558303564773,qlike,har,1W,SAM,elastic
0.0403083444736423,qlike,har_dummy_markets,1W,SAM,elastic
0.0469580065717431,qlike,ar,1W,SAM,lasso
0.0223894132611325,qlike,har,1W,SAM,lasso
0.0372260955313047,qlike,har_dummy_markets,1W,SAM,lasso
0.0485507243594541,qlike,ar,1W,SAM,linear
0.0355790354756703,qlike,har,1W,SAM,linear
0.0228927927888112,qlike,har_dummy_markets,1W,SAM,linear
0.880769555581378,qlike,risk_metrics,1W,SAM,linear
0.0722791997972273,qlike,ar,1W,SAM,ridge
0.103985559691324,qlike,har,1W,SAM,ridge
