values,metric,model,L,training_scheme,regression
0.588818734623995,r2,ar,1D,ClustAM,elastic
0.81223965183725,r2,har,1D,ClustAM,elastic
-0.168798187602938,r2,risk_metrics,1D,ClustAM,elastic
0.581910484153803,r2,ar,1D,ClustAM,lasso
0.82160538684706,r2,har,1D,ClustAM,lasso
-0.168798187602938,r2,risk_metrics,1D,ClustAM,lasso
-0.036909085935753,r2,ar,1D,ClustAM,ridge
-0.0290201781279289,r2,har,1D,ClustAM,ridge
-0.168798187602938,r2,risk_metrics,1D,ClustAM,ridge
0.131875247813061,r2,ar,1D,SAM,linear
0.439447623828302,r2,har,1D,SAM,linear
-0.142507808498123,r2,har_mkt,1D,SAM,linear
-1.5680367061543,r2,risk_metrics,1D,SAM,linear
0.64188719032,r2,ar,1D,CAM,elastic
0.814152107767212,r2,har,1D,CAM,elastic
-0.168798187602938,r2,risk_metrics,1D,CAM,elastic
0.640683885356145,r2,ar,1D,CAM,lasso
0.821024617137419,r2,har,1D,CAM,lasso
-0.168798187602938,r2,risk_metrics,1D,CAM,lasso
-0.0103913388946762,r2,ar,1D,CAM,ridge
0.00807367178578163,r2,har,1D,CAM,ridge
-0.168798187602938,r2,risk_metrics,1D,CAM,ridge
0.630201334066279,r2,ar,1W,ClustAM,elastic
0.857375669766622,r2,har,1W,ClustAM,elastic
-0.195847462824877,r2,risk_metrics,1W,ClustAM,elastic
0.667913670161611,r2,ar,1W,ClustAM,lasso
0.855604332021993,r2,har,1W,ClustAM,lasso
-0.195847462824877,r2,risk_metrics,1W,ClustAM,lasso
-0.0197120668418719,r2,ar,1W,ClustAM,ridge
0.0584300349174666,r2,har,1W,ClustAM,ridge
-0.195847462824877,r2,risk_metrics,1W,ClustAM,ridge
0.158932228809878,r2,ar,1W,SAM,linear
0.711757030009803,r2,har,1W,SAM,linear
0.729260305671537,r2,har_mkt,1W,SAM,linear
-1.5680367061543,r2,risk_metrics,1W,SAM,linear
0.674288268933625,r2,ar,1W,CAM,elastic
0.872955844559753,r2,har,1W,CAM,elastic
-0.195847462824877,r2,risk_metrics,1W,CAM,elastic
0.674509750611143,r2,ar,1W,CAM,lasso
0.873451142917395,r2,har,1W,CAM,lasso
-0.195847462824877,r2,risk_metrics,1W,CAM,lasso
0.139096456369761,r2,ar,1W,CAM,ridge
0.254034357363438,r2,har,1W,CAM,ridge
-0.195847462824877,r2,risk_metrics,1W,CAM,ridge
0.662137249583598,r2,ar,1M,ClustAM,elastic
0.85347807010341,r2,har,1M,ClustAM,elastic
-0.0740153749482569,r2,risk_metrics,1M,ClustAM,elastic
0.643606265976674,r2,ar,1M,ClustAM,lasso
0.855288304768025,r2,har,1M,ClustAM,lasso
-0.0740153749482569,r2,risk_metrics,1M,ClustAM,lasso
0.0528278206866102,r2,ar,1M,ClustAM,ridge
0.323410451236033,r2,har,1M,ClustAM,ridge
-0.0740153749482569,r2,risk_metrics,1M,ClustAM,ridge
0.0899743787944855,r2,ar,1M,SAM,linear
0.720790699378037,r2,har,1M,SAM,linear
0.781200949652622,r2,har_mkt,1M,SAM,linear
-1.5680367061543,r2,risk_metrics,1M,SAM,linear
0.658500593876532,r2,ar,1M,CAM,elastic
0.876428879376243,r2,har,1M,CAM,elastic
-0.0740153749482569,r2,risk_metrics,1M,CAM,elastic
0.658803620412486,r2,ar,1M,CAM,lasso
0.876660304371785,r2,har,1M,CAM,lasso
-0.0740153749482569,r2,risk_metrics,1M,CAM,lasso
0.352784341645835,r2,ar,1M,CAM,ridge
0.492251449795718,r2,har,1M,CAM,ridge
-0.0740153749482569,r2,risk_metrics,1M,CAM,ridge
0.0236102640476199,qlike,ar,1D,ClustAM,elastic
0.0110592190360903,qlike,har,1D,ClustAM,elastic
0.471330301420093,qlike,risk_metrics,1D,ClustAM,elastic
0.0237620605069149,qlike,ar,1D,ClustAM,lasso
0.0101502707801835,qlike,har,1D,ClustAM,lasso
0.471330301420093,qlike,risk_metrics,1D,ClustAM,lasso
0.0623274642474095,qlike,ar,1D,ClustAM,ridge
0.0608403460198944,qlike,har,1D,ClustAM,ridge
0.471330301420093,qlike,risk_metrics,1D,ClustAM,ridge
0.0491412546038488,qlike,ar,1D,SAM,linear
0.0723572391403134,qlike,har,1D,SAM,linear
0.495172597334655,qlike,har_mkt,1D,SAM,linear
0.915496276288673,qlike,risk_metrics,1D,SAM,linear
0.0215758370794731,qlike,ar,1D,CAM,elastic
0.0124134911854624,qlike,har,1D,CAM,elastic
0.471330301420093,qlike,risk_metrics,1D,CAM,elastic
0.0216077235860594,qlike,ar,1D,CAM,lasso
0.0116315906189515,qlike,har,1D,CAM,lasso
0.471330301420093,qlike,risk_metrics,1D,CAM,lasso
0.0629109620201547,qlike,ar,1D,CAM,ridge
0.0616772276023549,qlike,har,1D,CAM,ridge
0.471330301420093,qlike,risk_metrics,1D,CAM,ridge
0.0208837692542004,qlike,ar,1W,ClustAM,elastic
0.00770507313861522,qlike,har,1W,ClustAM,elastic
0.499469988581942,qlike,risk_metrics,1W,ClustAM,elastic
0.0198588438795372,qlike,ar,1W,ClustAM,lasso
0.00777877564641485,qlike,har,1W,ClustAM,lasso
0.499469988581942,qlike,risk_metrics,1W,ClustAM,lasso
0.059794723328088,qlike,ar,1W,ClustAM,ridge
0.0557299901010919,qlike,har,1W,ClustAM,ridge
0.499469988581942,qlike,risk_metrics,1W,ClustAM,ridge
0.0469402864537508,qlike,ar,1W,SAM,linear
0.0194561408522704,qlike,har,1W,SAM,linear
0.0137164559320522,qlike,har_mkt,1W,SAM,linear
0.915496276288673,qlike,risk_metrics,1W,SAM,linear
0.019072582754829,qlike,ar,1W,CAM,elastic
0.00708379394181262,qlike,har,1W,CAM,elastic
0.499469988581942,qlike,risk_metrics,1W,CAM,elastic
0.019052047531648,qlike,ar,1W,CAM,lasso
0.00705508560754597,qlike,har,1W,CAM,lasso
0.499469988581942,qlike,risk_metrics,1W,CAM,lasso
0.0525616567587719,qlike,ar,1W,CAM,ridge
0.0453450656153856,qlike,har,1W,CAM,ridge
0.499469988581942,qlike,risk_metrics,1W,CAM,ridge
0.0198123163164265,qlike,ar,1M,ClustAM,elastic
0.00783741766080946,qlike,har,1M,ClustAM,elastic
0.290971804647991,qlike,risk_metrics,1M,ClustAM,elastic
0.0214298587792883,qlike,ar,1M,ClustAM,lasso
0.00781221205166846,qlike,har,1M,ClustAM,lasso
0.290971804647991,qlike,risk_metrics,1M,ClustAM,lasso
0.0554558629559827,qlike,ar,1M,ClustAM,ridge
0.0395742327438247,qlike,har,1M,ClustAM,ridge
0.290971804647991,qlike,risk_metrics,1M,ClustAM,ridge
0.0489628084133336,qlike,ar,1M,SAM,linear
0.0150644746762989,qlike,har,1M,SAM,linear
0.0185370980265289,qlike,har_mkt,1M,SAM,linear
0.915496276288673,qlike,risk_metrics,1M,SAM,linear
0.0199896703069055,qlike,ar,1M,CAM,elastic
0.00689966883360061,qlike,har,1M,CAM,elastic
0.290971804647991,qlike,risk_metrics,1M,CAM,elastic
0.0199671725817228,qlike,ar,1M,CAM,lasso
0.00688955660189166,qlike,har,1M,CAM,lasso
0.290971804647991,qlike,risk_metrics,1M,CAM,lasso
0.0402097959916782,qlike,ar,1M,CAM,ridge
0.0310205228738763,qlike,har,1M,CAM,ridge
0.290971804647991,qlike,risk_metrics,1M,CAM,ridge
1.08878721432186e-05,mse,ar,1D,ClustAM,elastic
4.60402764145285e-06,mse,har,1D,ClustAM,elastic
1.34049106755602e-09,mse,risk_metrics,1D,ClustAM,elastic
1.10820104919237e-05,mse,ar,1D,ClustAM,lasso
4.36699931603357e-06,mse,har,1D,ClustAM,lasso
1.34049106755602e-09,mse,risk_metrics,1D,ClustAM,lasso
2.81998801230478e-05,mse,ar,1D,ClustAM,ridge
2.82420488215004e-05,mse,har,1D,ClustAM,ridge
1.34049106755602e-09,mse,risk_metrics,1D,ClustAM,ridge
2.25508211119459e-05,mse,ar,1D,SAM,linear
1.37606399594075e-05,mse,har,1D,SAM,linear
2.89038397645703e-05,mse,har_mkt,1D,SAM,linear
3.645570472883e-09,mse,risk_metrics,1D,SAM,linear
9.1277768119526e-06,mse,ar,1D,CAM,elastic
4.274488552575e-06,mse,har,1D,CAM,elastic
1.34049106755602e-09,mse,risk_metrics,1D,CAM,elastic
9.15587723594372e-06,mse,ar,1D,CAM,lasso
4.13437357480178e-06,mse,har,1D,CAM,lasso
1.34049106755602e-09,mse,risk_metrics,1D,CAM,lasso
2.62534774473047e-05,mse,ar,1D,CAM,ridge
2.56430574451967e-05,mse,har,1D,CAM,ridge
1.34049106755602e-09,mse,risk_metrics,1D,CAM,ridge
9.42482750897581e-06,mse,ar,1W,ClustAM,elastic
3.35967891011391e-06,mse,har,1W,ClustAM,elastic
6.55267292558513e-10,mse,risk_metrics,1W,ClustAM,elastic
8.51633865458262e-06,mse,ar,1W,ClustAM,lasso
3.46681165559425e-06,mse,har,1W,ClustAM,lasso
6.55267292558513e-10,mse,risk_metrics,1W,ClustAM,lasso
2.88209240879335e-05,mse,ar,1W,ClustAM,ridge
2.49533807480339e-05,mse,har,1W,ClustAM,ridge
6.55267292558513e-10,mse,risk_metrics,1W,ClustAM,ridge
2.16036553449035e-05,mse,ar,1W,SAM,linear
6.86433030259315e-06,mse,har,1W,SAM,linear
6.32258292883938e-06,mse,har_mkt,1W,SAM,linear
